SRA run accession number	tissue	MR1:NM_001195000 normalized count	MR1:NM_001531 normalized count	NM_001531:NM_001195000 ratio
SRR1410656	Brain	4.10597	2.05298	0.249999
SRR1365987	Brain	4.10251	2.05125	0.249999
SRR660390	Bone Marrow	43.763	24.0388	0.274648
SRR1091119	Blood Vessel	8.90775	4.71587	0.264706
SRR1500360	Nerve	10.5393	5.62097	0.266667
SRR662847	Blood	24.4351	13.3282	0.272727
SRR1416226	Lung	24.1845	13.1916	0.272728
SRR1476485	Liver	23.7573	12.9585	0.272727
SRR662474	Lung	52.0707	28.6766	0.275362
SRR1365332	Skin	10.2405	5.46163	0.266668
SRR1088856	Ovary	23.1337	12.6184	0.272728
SRR1465459	Adipose Tissue	10.2082	5.44439	0.266667
SRR1319648	Muscle	4.03252	2.01626	0.25
SRR1093483	Blood	100.93	55.8171	0.276514
SRR1326536	Blood	46.38	25.5303	0.27523
SRR1458066	Testis	4.0048	2.0024	0.25
SRR615153	Nerve	12.99	6.99462	0.269231
SRR1432500	Spleen	21.9224	11.9577	0.272728
SRR1076170	Esophagus	17.4461	9.47073	0.271428
SRR1082784	Skin	75.65	41.8367	0.276515
SRR1102489	Skin	74.2051	41.0496	0.276596
SRR608368	Brain	3.94805	1.97402	0.249999
SRR1362245	Pituitary	9.65784	5.15085	0.266667
SRR1348490	Esophagus	16.4883	8.95082	0.271429
SRR1409130	Muscle	3.93441	1.96721	0.250001
